Indicator,Urban,Rural,Total,Total NFHS4,State
Population and Household Profile,,,,,Andhra
1. Female population age 6 years and above who ever attended school (%),75.5,61.2,65.6,62,Andhra
2. Population below age 15 years (%),21.3,22.6,22.2,23.7,Andhra
"3. Sex ratio of the total population (females per 1,000 males)","1,024","1,055","1,045","1,021",Andhra
"4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",877,957,934,914,Andhra
5. Children under age 5 years whose birth was registered with the civil authority (%),93.8,91.6,92.2,82.7,Andhra
6. Deaths in the last 3 years registered with the civil authority (%),89.4,76.6,80.2,,Andhra
7. Population living in households with electricity (%),99.6,99.4,99.5,99.2,Andhra
8. Population living in households with an improved drinking-water source1  (%),99.4,95.4,96.7,95.6,Andhra
9. Population living in households that use an improved sanitation facility2 (%),89.1,72.1,77.3,54.4,Andhra
10. Households using clean fuel for cooking3  (%),,77.9,83.6,62,Andhra
11. Households using iodized salt (%),89.3,80.4,83.1,81.6,Andhra
12. Households with any usual member covered under a health insurance/financing scheme (%),62.2,73.7,70.2,74.6,Andhra
13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%),10.2,9.8,9.9,,Andhra
Characteristics of Adults (age 15-49 years),,,,,Andhra
14. Women who are literate4  (%),79,63.8,68.6,,Andhra
15. Men who are literate4  (%),86.4,76.3,79.5,,Andhra
16. Women with 10 or more years of schooling (%),51.2,34.3,39.6,34.3,Andhra
17. Men with 10 or more years of schooling (%),59.5,42.5,47.9,51.3,Andhra
18. Women who have ever used the internet (%),33.9,15.4,21,,Andhra
19. Men who have ever used the internet (%),65.1,41.5,48.8,,Andhra
Marriage and Fertility,,,,,Andhra
20. Women age 20-24 years married before age 18 years (%),21.7,32.9,29.3,33,Andhra
21. Men age 25-29 years married before age 21 years (%),13.1,15.2,14.5,15.8,Andhra
22. Total fertility rate (children per woman),1.5,1.8,1.7,1.8,Andhra
23. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),9.3,14.1,12.6,11.8,Andhra
24. Adolescent fertility rate for women age 15-19 years5,40,80,67,83,Andhra
"Infant and Child Mortality Rates (per 1,000 live births)",,,,,Andhra
25. Neonatal mortality rate (NNMR),14.4,22.1,19.9,23.6,Andhra
26. Infant mortality rate (IMR),29.8,30.4,30.3,34.9,Andhra
27. Under-five mortality rate (U5MR),33.7,35.8,35.2,40.8,Andhra
Current Use of Family Planning Methods (currently married women age 15–49 years),,,,,Andhra
28. Any method6  (%),70.8,71.2,71.1,69.5,Andhra
29. Any modern method6  (%),70.3,71.1,70.8,69.4,Andhra
30. Female sterilization (%),68.3,70.2,69.6,68.3,Andhra
31. Male sterilization (%),0.6,0.4,0.4,0.6,Andhra
32. IUD/PPIUD (%),0.2,0.1,0.2,0.2,Andhra
33. Pill (%),0.1,0.1,0.1,0.2,Andhra
34. Condom (%),0.9,0.3,0.5,0.2,Andhra
35. Injectables (%),0,0,0,0,Andhra
Unmet Need for Family Planning (currently married women age 15–49 years),,,,,Andhra
36. Total unmet need7 (%),5.2,4.4,4.7,4.7,Andhra
37. Unmet need for spacing7  (%),2.3,2.8,2.6,3.1,Andhra
Quality of Family Planning Services,,,,,Andhra
38. Health worker ever talked to female non-users about family planning (%),18.6,18.6,18.6,19.7,Andhra
39. Current users ever told about side effects of current method8  (%),33.6,27.1,28.9,25,Andhra
Maternal and Child Health,,,,,Andhra
Maternity Care (for last birth in the 5 years before the survey),,,,,Andhra
40. Mothers who had an antenatal check-up in the first trimester (%),82.7,81.3,81.7,82.3,Andhra
41. Mothers who had at least 4 antenatal care visits (%),67.2,67.6,67.5,76.3,Andhra
42. Mothers whose last birth was protected against neonatal tetanus9  (%),92.5,92.9,92.8,94.9,Andhra
43. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),76.7,67.6,70.3,56.1,Andhra
44. Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),45.6,39.3,41.1,30.6,Andhra
45. Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),94.2,97.5,96.5,92.6,Andhra
46. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),92.2,90.1,90.7,79.7,Andhra
